"","date","id","deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","new_confirmed_nod","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"602",2020-05-08,"22745cb1",0,261,8,281482,2,"Sweden","Värmland",NA,261,8,6.79938799307927,13.6496033028736,9.6337401256134,1.78294911134149,2.3545658516472,2.06875748149434,-0.0756045549815897,0.0536271779545966,-0.033225188763778,0.0112478117367849,-0.0109886885134965,0.63055171886399,1.99999994276107,-0.333314941066637,"Sweden","Värmland",NA,0
"603",2020-05-09,"22745cb1",0,268,7,281482,2,"Sweden","Värmland",NA,268,7,6.07930794801234,12.2913037840742,8.64422470704901,1.77152195638929,2.3440156295724,2.05776879298085,-0.0722502141417032,0.0566238001992375,-0.0299881557012183,0.0143617417587526,-0.00781320697123281,0.593924616461423,1.99999994276107,-0.237652320301918,"Sweden","Värmland",NA,0
"604",2020-05-10,"22745cb1",0,271,3,281482,2,"Sweden","Värmland",NA,271,3,1.74966609962505,4.05734232665726,2.66439380038425,1.76349014251665,2.33642102950258,2.04995558600961,-0.0680460838386825,0.0606877141893919,-0.0258300069720545,0.018471637322764,-0.00367918482464525,0.544600473776077,1.99999994276107,-0.112030715464456,"Sweden","Värmland",NA,0
"605",2020-05-11,"22745cb1",0,274,3,281482,2,"Sweden","Värmland",NA,274,3,4.29568480333589,8.94724406419749,6.19955969068049,1.76011507707246,2.33243772529748,2.04627640118497,-0.0628377239380708,0.0660138975106312,-0.0205830088687479,0.0237591824413083,0.00158808678628024,0.480733466893059,1.99999994276107,0.0483128247892853,"Sweden","Värmland",NA,0
"606",2020-05-12,"22745cb1",0,289,15,281482,2,"Sweden","Värmland",NA,289,15,7.22178801101986,14.4655968850275,10.2209331353129,1.76239486974482,2.33333410619768,2.04786448797125,-0.057748069883127,0.071260621319865,-0.0154418464382097,0.0289543978749476,0.00675627571836899,0.41867302068022,1.99999994276107,0.205289379407619,"Sweden","Värmland",NA,0
"607",2020-05-13,"22745cb1",0,295,6,281482,2,"Sweden","Värmland",NA,295,6,8.00130036934652,15.9207918939768,11.2865866435148,1.76995202937875,2.33928949800049,2.05462076368962,-0.05126176855553,0.0777531199642859,-0.00895351280513101,0.0354448642138869,0.013245675704378,0.343676288905779,1.99999994276107,0.402450409085779,"Sweden","Värmland",NA,0
"608",2020-05-14,"22745cb1",0,309,14,281482,2,"Sweden","Värmland",NA,309,14,7.96010530072353,15.8383830756418,11.2283212046729,1.78392684725038,2.3518060315376,2.06786643939399,-0.0448280665032396,0.083977562618637,-0.00258843384144508,0.0417379299568425,0.0195747480576987,0.275682410565782,1.99999994276107,0.59571621925363,"Sweden","Värmland",NA,0
"609",2020-05-15,"22745cb1",0,317,8,281482,2,"Sweden","Värmland",NA,317,8,6.94135159572246,13.8795143905275,9.81542609174664,1.80415104292244,2.37073133198094,2.08744118745169,-0.0376955784977187,0.0907409251214868,0.00442300568393392,0.0486223409398343,0.0265226733118841,0.209119130394521,1.99999994276107,0.809481463605355,"Sweden","Värmland",NA,0
"610",2020-05-16,"22745cb1",0,324,7,281482,2,"Sweden","Värmland",NA,324,7,6.44962794363792,12.9636664712061,9.14389553334315,1.83140474058833,2.39652298093882,2.11396386076358,-0.0304912512876929,0.0975656010972259,0.0115028326777409,0.0555715171317921,0.0335371749047665,0.152304159853644,1.99999994276107,1.02660113429907,"Sweden","Värmland",NA,0
"611",2020-05-17,"22745cb1",0,324,0,281482,2,"Sweden","Värmland",NA,324,0,1.93653383560126,4.45552249281757,2.93739171079101,1.865999069107,2.42900300222969,2.14750103566834,-0.0240057645050509,0.103884900206044,0.0179338210169289,0.0619453146840639,0.0399395678504964,0.110443588774447,1.99999994276107,1.22417245577543,"Sweden","Värmland",NA,0
