"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"3014",2020-08-29,"d46c7fb5",0,0,609,2,159684,2,"Sweden","Blekinge",NA,609,2,0.549667806148133,3.25113036628691,1.33680278872334,-0.21029875450567,1.45477115131701,0.622236198405671,-0.211883493463584,0.136330151055277,-0.0976927043453215,0.0221393619370138,-0.0377766712041538,0.664676943951992,1.23677241287013,-0.425261423160243,"Sweden","Blekinge",NA,0
"3015",2020-03-04,"f44d4296",0,0,1,1,107038,2,"Sweden","Örebro",NA,1,1,0.25377906329551,1.57723060465895,0.63266745249883,-1.56573193437813,0.205759620222425,-0.679986157077851,0.0318907563939043,0.22139162739167,0.0940343694844618,0.159248014301113,0.126641191892787,0.00440111206141457,1.05133932740304,2.61964152209111,"Sweden","Örebro",NA,0
"3016",2020-03-05,"f44d4296",0,0,1,0,107038,2,"Sweden","Örebro",NA,1,0,0.353833347761739,1.92199173505749,0.824660396760862,-1.37047284225422,0.263782911884095,-0.553344965185063,0.0359437053382078,0.217532780155545,0.0954927783715129,0.15798370712224,0.126738242746876,0.0031107445445486,1.05133932740304,2.73587374678398,"Sweden","Örebro",NA,0
"3017",2020-03-06,"f44d4296",0,0,1,0,107038,2,"Sweden","Örebro",NA,1,0,0.330925425814992,1.60834104167574,0.729548452175915,-1.18018266018038,0.326969215304005,-0.426606722438188,0.0399637471488586,0.213600535831912,0.096905002127754,0.156659280853017,0.126782141490385,0.00210379957799796,1.05133932740304,2.86216340544737,"Sweden","Örebro",NA,0
"3018",2020-03-07,"f44d4296",0,0,2,1,107038,2,"Sweden","Örebro",NA,2,1,0.252418952348232,1.11912126419581,0.531495453469674,-0.995057111388458,0.395407949492851,-0.299824580947803,0.043784181162913,0.209533850644337,0.0981389884833651,0.155179043323885,0.126659015903625,0.00137021816052776,1.05133932740304,2.99544620831009,"Sweden","Örebro",NA,0
"3019",2020-03-08,"f44d4296",0,0,4,2,107038,2,"Sweden","Örebro",NA,4,2,0.19512832601554,0.801935766534783,0.395576015066537,-0.81533465597986,0.469003525891504,-0.173165565044178,0.0474476412151083,0.205444881046202,0.0992601700427739,0.153632352218536,0.126446261130655,0.000853008947001203,1.05133932740304,3.13714490279416,"Sweden","Örebro",NA,0
"3020",2020-03-09,"f44d4296",0,0,4,0,107038,2,"Sweden","Örebro",NA,4,0,0.414506567594782,1.5213231938847,0.794102295236248,-0.641125180991232,0.547686573164188,-0.0467193039135219,0.0512110599732179,0.201628897151025,0.100538051592197,0.152301905532046,0.126419978562122,0.000492918895751715,1.05133932740304,3.29453753034871,"Sweden","Örebro",NA,0
"3021",2020-03-10,"f44d4296",0,0,4,0,107038,2,"Sweden","Örebro",NA,4,0,1.05921972567506,3.50592018740555,1.92705470060981,-0.472222951105174,0.631624300402369,0.0797006746485973,0.0549217241627505,0.197995093728582,0.101840221555653,0.15107659633568,0.126458408945666,0.000265400940228645,1.05133932740304,3.46471083791313,"Sweden","Örebro",NA,0
"3022",2020-03-11,"f44d4296",0,0,4,0,107038,2,"Sweden","Örebro",NA,4,0,0.872743654033818,2.69873512987129,1.53469995716208,-0.308469005640775,0.72078717282932,0.206159083594272,0.0582970208659196,0.194374953640748,0.102921482801092,0.149750491705576,0.126335987253334,0.000136691841606336,1.05133932740304,3.63929668710618,"Sweden","Örebro",NA,0
"3023",2020-03-12,"f44d4296",0,0,7,3,107038,2,"Sweden","Örebro",NA,7,3,1.17332913213403,3.40848433630108,1.99981848381412,-0.1497990856145,0.814789227309714,0.332495070847607,0.0611010230088057,0.190613057865326,0.103572309511701,0.14814177136243,0.125857040437066,6.96796547655257e-05,1.05133932740304,3.80930261393436,"Sweden","Örebro",NA,0
"3024",2020-03-13,"f44d4296",0,0,9,2,107038,2,"Sweden","Örebro",NA,9,2,1.05653749213647,2.95725547288372,1.76761174496194,0.00375908363889543,0.91294513893045,0.458352111284673,0.0634088074266481,0.186864974034908,0.103894174121546,0.14637960734001,0.125136890730778,3.5442790735579e-05,1.05133932740304,3.97329361032078,"Sweden","Örebro",NA,0
"3025",2020-03-14,"f44d4296",0,0,9,0,107038,2,"Sweden","Örebro",NA,9,0,0.775345690171631,2.13176908726425,1.28563524152516,0.15239368696966,1.01458431706124,0.583489002015451,0.0652196320239225,0.183187721795819,0.103905276523695,0.144502077296046,0.124203676909871,1.83660569384853e-05,1.05133932740304,4.12712851350738,"Sweden","Örebro",NA,0
